v1,v2,,,
NOT SPAM,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",,,
SPAM,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,,,
NOT SPAM,WHO ARE YOU SEEING?,,,
NOT SPAM,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,,,
NOT SPAM,No calls..messages..missed calls,,,
NOT SPAM,Didn't you get hep b immunisation in nigeria.,,,
NOT SPAM,"Fair enough, anything going on?",,,
NOT SPAM,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",,,
NOT SPAM,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,,,
NOT SPAM,What you thinked about me. First time you saw me in class.,,,
NOT SPAM,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",,,
NOT SPAM,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,,,
NOT SPAM,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",,,
SPAM,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,,,
NOT SPAM,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,,,
SPAM,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",,,
NOT SPAM,"Sorry, I'll call later in meeting.",,,
NOT SPAM,Tell where you reached,,,
NOT SPAM,Yes..gauti and sehwag out of odi series.,,,
NOT SPAM,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,,,
NOT SPAM,Ha ha ha good joke. Girls are situation seekers.,,,
NOT SPAM,Its a part of checking IQ,,,
NOT SPAM,"Sorry my roommates took forever, it ok if I come by now?",,,
NOT SPAM,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,,,
SPAM,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",,,
NOT SPAM,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",,,
SPAM,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",,,
SPAM,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",,,
NOT SPAM,I plane to give on this month end.,,,
NOT SPAM,Wah lucky man... Then can save money... Hee...,,,
NOT SPAM,Finished class where are you.,,,
NOT SPAM,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,,,
NOT SPAM,K..k:)where are you?how did you performed?,,,
NOT SPAM,U can call me now...,,,
NOT SPAM,I am waiting machan. Call me once you free.,,,
NOT SPAM,Thats cool. i am a gentleman and will treat you with dignity and respect.,,,
NOT SPAM,I like you peoples very much:) but am very shy pa.,,,
NOT SPAM,Does not operate after  &lt;#&gt;  or what,,,
NOT SPAM,Its not the same here. Still looking for a job. How much do Ta's earn there.,,,
NOT SPAM,"Sorry, I'll call later",,,
NOT SPAM,K. Did you call me just now ah? ,,,
NOT SPAM,Ok i am on the way to home hi hi,,,
NOT SPAM,You will be in the place of that man,,,
NOT SPAM,Yup next stop.,,,
NOT SPAM,"I call you later, don't have network. If urgnt, sms me.",,,
NOT SPAM,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,,,
NOT SPAM,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,,,
NOT SPAM,I'm really not up to it still tonight babe,,,
NOT SPAM,"Ela kano.,il download, come wen ur free..",,,
NOT SPAM,Yeah do! Don‰Û÷t stand to close tho- you‰Û÷ll catch something!,,,
NOT SPAM,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,,,
NOT SPAM,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,,,
SPAM,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
NOT SPAM,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,,,
SPAM,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML", PO Box 5249," MK17 92H. 450Ppw 16""",
NOT SPAM,Watching telugu movie..wat abt u?,,,
NOT SPAM,i see. When we finish we have loads of loans to pay,,,
NOT SPAM,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""NOT SPAM""",,,
NOT SPAM,Please don't text me anymore. I have nothing else to say.,,,
NOT SPAM,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,,,
NOT SPAM,I'm still looking for a car to buy. And have not gone 4the driving test yet.,,,
NOT SPAM,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
NOT SPAM,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",,,
NOT SPAM,Umma my life and vava umma love you lot dear,,,
NOT SPAM,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,,,
NOT SPAM,"Aight, I'll hit you up when I get some cash",,,
NOT SPAM,How would my ip address test that considering my computer isn't a minecraft server,,,
NOT SPAM,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,,,
NOT SPAM,Dont worry. I guess he's busy.,,,
NOT SPAM,What is the plural of the noun research?,,,
NOT SPAM,Going for dinner.msg you after.,,,
NOT SPAM,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,,,
SPAM,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,,,
NOT SPAM,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",,,
NOT SPAM,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
SPAM,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,,,
NOT SPAM,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,,,
NOT SPAM,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,,,
SPAM,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,,,
SPAM,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",,,
NOT SPAM,here is my new address -apples&pairs&all that malarky,,,
SPAM,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,,,
NOT SPAM,I am going to sao mu today. Will be done only at 12 ,,,
NOT SPAM,ÌÏ predict wat time Ì_'ll finish buying?,,,
NOT SPAM,"Good stuff, will do.",,,
NOT SPAM,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",,,
NOT SPAM,Are you there in room.,,,
NOT SPAM,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,,,
NOT SPAM,K..k:)how much does it cost?,,,
NOT SPAM,I'm home.,,,
NOT SPAM,"Dear, will call Tmorrow.pls accomodate.",,,
NOT SPAM,First answer my question.,,,
SPAM,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,,,
SPAM,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,,,
NOT SPAM,I only haf msn. It's yijue@hotmail.com,,,
NOT SPAM,He is there. You call and meet him,,,
NOT SPAM,No no. I will check all rooms befor activities,,,
SPAM,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,,,
NOT SPAM,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,,,
NOT SPAM,"K, text me when you're on the way",,,
NOT SPAM,"Sir, Waiting for your mail.",,,
NOT SPAM,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",,,
NOT SPAM,I know you are. Can you pls open the back?,,,
NOT SPAM,Yes see ya not on the dot,,,
NOT SPAM,Whats the staff name who is taking class for us?,,,
SPAM,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",,,
NOT SPAM,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,,,
NOT SPAM,K..i deleted my contact that why?,,,
NOT SPAM,Sindu got job in birla soft ..,,,
NOT SPAM,The wine is flowing and i'm i have nevering..,,,
NOT SPAM,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,,,
NOT SPAM,Ok... Ur typical reply...,,,
NOT SPAM,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,,,
NOT SPAM,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",,,
NOT SPAM,Aaooooright are you at work?,,,
NOT SPAM,I'm leaving my house now...,,,
NOT SPAM,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",,,
SPAM,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,,,
SPAM,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,,,
NOT SPAM,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,,,
NOT SPAM,New car and house for my parents.:)i have only new job in hand:),,,
NOT SPAM,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,,,
SPAM,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,,,
SPAM,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",,,
NOT SPAM,I place all ur points on e cultures module already.,,,
SPAM,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,,,
NOT SPAM,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",,,
NOT SPAM,Great escape. I fancy the bridge but needs her lager. See you tomo ,,,
NOT SPAM,Yes :)it completely in out of form:)clark also utter waste.,,,
NOT SPAM,"Sir, I need AXIS BANK account no and bank address.",,,
NOT SPAM,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",,,
NOT SPAM,What time you coming down later? ,,,
NOT SPAM,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",,,
NOT SPAM,"Well, i'm gonna finish my bath now. Have a good...fine night.",,,
NOT SPAM,Let me know when you've got the money so carlos can make the call,,,
NOT SPAM,U still going to the mall?,,,
NOT SPAM,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",,,
NOT SPAM,Text her. If she doesnt reply let me know so i can have her log in,,,
NOT SPAM,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,,,
NOT SPAM,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,,,
NOT SPAM,Lol no. U can trust me.,,,
NOT SPAM,ok. I am a gentleman and will treat you with dignity and respect.,,,
NOT SPAM,"He will, you guys close?",,,
NOT SPAM,Going on nothing great.bye,,,
NOT SPAM,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,,,
NOT SPAM,"Haha awesome, be there in a minute",,,
SPAM,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
NOT SPAM,Have you got Xmas radio times. If not i will get it now,,,
NOT SPAM,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,,,
SPAM,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,,,
NOT SPAM,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,,,
NOT SPAM,Hi :)finally i completed the course:),,,
NOT SPAM,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,,,
NOT SPAM,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,,,
NOT SPAM,Gud mrng dear hav a nice day,,,
NOT SPAM,Did u got that persons story,,,
NOT SPAM,is your NOT SPAMster dead? Hey so tmr i meet you at 1pm orchard mrt? ,,,
NOT SPAM,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,,,
NOT SPAM,"Found it, ENC  &lt;#&gt; , where you at?",,,
NOT SPAM,I sent you  &lt;#&gt;  bucks,,,
NOT SPAM,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,,,
NOT SPAM,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,,,
NOT SPAM,Goodmorning sleeping ga.,,,
NOT SPAM,U call me alter at 11 ok.,,,
NOT SPAM,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,,,
NOT SPAM,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
NOT SPAM,"Aight yo, dats straight dogg",,,
NOT SPAM,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,,,
NOT SPAM,Both :) i shoot big loads so get ready!,,,
NOT SPAM,"What's up bruv, hope you had a great break. Do have a rewarding semester.",,,
NOT SPAM,Home so we can always chat,,,
NOT SPAM,K:)k:)good:)study well.,,,
NOT SPAM,Yup... How Ì_ noe leh...,,,
NOT SPAM,Sounds great! Are you home now?,,,
NOT SPAM,Finally the match heading towards draw as your prediction.,,,
NOT SPAM,Tired. I haven't slept well the past few nights.,,,
NOT SPAM,Easy ah?sen got selected means its good..,,,
NOT SPAM,I have to take exam with march 3,,,
NOT SPAM,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,,,
NOT SPAM,Ok no prob. Take ur time.,,,
NOT SPAM,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,,,
NOT SPAM,"Sorry, I'll call later",,,
NOT SPAM,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,,,
SPAM,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",,,
NOT SPAM,Would really appreciate if you call me. Just need someone to talk to.,,,
SPAM,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",,,
NOT SPAM,Hey company elama po mudyadhu.,,,
NOT SPAM,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",,,
NOT SPAM,Dear good morning now only i am up,,,
NOT SPAM,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,,,
NOT SPAM,Dear we are going to our rubber place,,,
NOT SPAM,"Sorry battery died, yeah I'm here",,,
NOT SPAM,Yes:)here tv is always available in work place..,,,
SPAM,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,,,
NOT SPAM,I have printed it oh. So  &lt;#&gt;  come upstairs,,,
NOT SPAM,Or ill be a little closer like at the bus stop on the same street,,,
NOT SPAM,Where are you?when wil you reach here?,,,
NOT SPAM,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",,,
SPAM,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,,,
NOT SPAM,Tomarrow final hearing on my laptop case so i cant.,,,
NOT SPAM,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,,,
NOT SPAM,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",,,
NOT SPAM,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",,,
NOT SPAM,U don't remember that old commercial?,,,
NOT SPAM,Too late. I said i have the website. I didn't i have or dont have the slippers,,,
NOT SPAM,I asked you to call him now ok,,,
NOT SPAM,Kallis wont bat in 2nd innings.,,,
NOT SPAM,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,,,
SPAM,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,,,
NOT SPAM,Ranjith cal drpd Deeraj and deepak 5min hold,,,
NOT SPAM,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",,,
NOT SPAM,What you doing?how are you?,,,
NOT SPAM,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",,,
NOT SPAM,"I'm back, lemme know when you're ready",,,
NOT SPAM,Don't necessarily expect it to be done before you get back though because I'm just now headin out,,,
NOT SPAM,Mmm so yummy babe ... Nice jolt to the suzy,,,
NOT SPAM,Where are you lover ? I need you ...,,,
SPAM,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,,,
NOT SPAM,I‰Û÷m parked next to a MINI!!!! When are you coming in today do you think?,,,
NOT SPAM,Yup,,,
NOT SPAM,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,,,
NOT SPAM,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,,,
SPAM,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,,,
NOT SPAM,Why you Dint come with us.,,,
NOT SPAM,Same. Wana plan a trip sometme then,,,
NOT SPAM,"Not sure yet, still trying to get a hold of him",,,
SPAM,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,,,
NOT SPAM,The evo. I just had to download flash. Jealous?,,,
SPAM,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,,,
NOT SPAM,"Come to mu, we're sorting out our narcotics situation",,,
NOT SPAM,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",,,
SPAM,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,,,
NOT SPAM,"Usf I guess, might as well take 1 car",,,
NOT SPAM,No objection. My bf not coming.,,,
NOT SPAM,Thanx...,,,
NOT SPAM,Tell rob to mack his gf in the theater,,,
NOT SPAM,"Awesome, I'll see you in a bit",,,
NOT SPAM,Just sent it. So what type of food do you like?,,,
NOT SPAM,All done? All handed in? Celebrations in full swing yet?,,,
NOT SPAM,You got called a tool?,,,
NOT SPAM,\Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them," just Keep-in-touch\"" gdeve.."""
NOT SPAM,Ok. I asked for money how far,,,
NOT SPAM,Okie...,,,
NOT SPAM,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",,,
NOT SPAM,"K, I might come by tonight then if my class lets out early",,,
NOT SPAM,Ok..,,,
NOT SPAM,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,,,
NOT SPAM,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",,,
NOT SPAM,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",,,
NOT SPAM,Hey you told your name to gautNOT SPAM ah?,,,
NOT SPAM,Haf u found him? I feel so stupid da v cam was working.,,,
NOT SPAM,Oops. 4 got that bit.,,,
NOT SPAM,Are you this much buzy,,,
NOT SPAM,I accidentally deleted the message. Resend please.,,,
SPAM,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,,,
NOT SPAM,Unless it's a situation where YOU GO GURL would be more appropriate,,,
NOT SPAM,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,,,
NOT SPAM,I cant pick the phone right now. Pls send a message,,,
NOT SPAM,Need a coffee run tomo?Can't believe it's that time of week already,,,
NOT SPAM,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",,,
NOT SPAM,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",,,
NOT SPAM,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,,,
NOT SPAM,He is a womdarfull actor,,,
SPAM,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",,,
NOT SPAM,Yup... From what i remb... I think should be can book... ,,,
NOT SPAM,Jos ask if u wana meet up?,,,
NOT SPAM,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,,,
SPAM,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",,,
NOT SPAM,Where are the garage keys? They aren't on the bookshelf,,,
